Name.1,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Body,pclass
"Asplund, Mrs. Selma Augusta Emilia (née Johansson)",38,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,,3
"Asplund, Master Filip Oscar",13,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,,3
"Asplund, Master Clarence Gustaf Hugo",9,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,,3
"Asplund, Master Carl Edgar",5,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,,3
"Asplund, Miss Lillian Gertrud",5,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,,3
"Asplund, Master Edvin Rojj Felix",3,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,,3
"Asplund, Mr. Johan Charles",23,"Oskarshamn, Kalmar",Sweden,Southampton,"Minneapolis, Minnesota, US",13,,3
"Assaf, Mrs. Mariyam (née Khalil)",45,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",C,,3
"Assam, Mr. Ali",23,Buenos Aires,Argentina,Southampton,New York City,,,3
"Attala, Mr. Sleiman",30,"Ottawa, Ontario",Canada,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Atta Allah, Miss Malakah",17,Beirut,Lebanon,Cherbourg,New York City,,,3
"Augustsson, Mr. Albert",23,"Krakoryd, Småland",Sweden,Southampton,"Bloomington, Indiana, US",,,3
"Ayyub Dahir, Miss Bannurah",15,Beirut,Lebanon,Cherbourg,"Owen Sound, Ontario, Canada",C,,3
"Bakus, Mr. Raful",20,Unknown,Lebanon,Cherbourg,New York City,,,3
"Backström, Mr. Karl Alfred",32,Kotka,Finland,Southampton,New York City,,,3
"Backström, Mrs. Maria Mathilda (née Gustafsson)",33,Kotka,Finland,Southampton,New York City,D,,3
"Badman, Miss Emily Louisa",18,"Clevedon, North Somerset",England,Southampton,"Skaneateles, New York, US",C,,3
"Badt, Mr. Mohamed",40,Tripoli,Lebanon,Cherbourg,New York City,,,3
"Bakić, Mr. Kerim",26,Bosanska Krupa,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,,3
"Banski, Mrs. Mara (née Osman)",31,Vagovina,Croatia,Southampton,"Steelton, Pennsylvania, US",?,,3
"Baqlini, Mrs. Mariyam Latifa (née Qurban)",24,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,,3
"Baqlini, Miss Mariya Katarin",5,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,,3
"Baqlini, Miss Eujini",4,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,,3
"Baqlini, Miss Hileni Barbarah",9 mo.,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,,3
"Barbarah, Mrs. Katarin Dawud",45,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Barbarah, Miss Saidah",18,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Barry, Miss Julia",26,"New York City, New York",US,Queenstown,New York City,,,3
"Barton, Mr. David John",22,"Cambridge, Cambridgeshire",England,Southampton,New York City,,,3
"Beavan, Mr. William Thomas",18,"Fillingham, Lincolnshire",England,Southampton,"Russell, US",,,3
"Bengtsson, Mr. Johan Viktor",26,"Fridhemsberg, Halland",Sweden,Southampton,"Monee, Illinois, US",,,3
"Berglund, Mr. Karl Ivar Sven",22,Firtby,Finland,Southampton,New York City,,,3
"Betros, Mr. Tannous",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,,3
"Birkeland, Mr. Hans Martin Monsen",21,Bremnes,Norway,Southampton,New York City,,,3
"Björklund, Mr. Ernst Herbert",18,Stockholm,Sweden,Southampton,New York City,,,3
"Bostandyeff, Mr. Guentcho",26,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Bourke, Mr. John",42,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"Bourke, Mrs. Catherine (née McHugh)",32,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"Bourke, Miss Mary",40,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"Bowen, Mr. David John ""Dai""",20,"Treherbert, Glamorgan",Wales,Southampton,New York City,,,3
"Bradley, Miss Bridget Delia",22,"Kingwilliamstown, Cork",Ireland,Queenstown,"Glen Falls, New York, US",13,,3
"Braf, Miss Elin Ester Maria",20,"Medeltorp, Småland",Sweden,Southampton,"Chicago, Illinois, US",,,3
"Braund, Mr. Lewis Richard",29,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,,3
"Braund, Mr. Owen Harris",22,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,,3
"Brobeck, Mr. Karl Rudolf",22,"Norrköping, Östergötland",Sweden,Southampton,"Worcester, Massachusetts, US",,,3
"Brocklebank, Mr. William Alfred",35,"Broomfield, Essex",England,Southampton,New York City,,,3
"Buckley, Mr. Daniel",21,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,13,,3
"Buckley, Miss Catherine",22,"Ovens, Cork",Ireland,Queenstown,"Roxbury, Massachusetts, US",,299,3
"Bulus, Mrs. Sultanah (née Rizq)",40,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,,3
"Bulus, Master Akar",9,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,,3
"Bulus, Miss Nur-al-Ayn",7,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,,3
"Burke, Mr. Jeremiah",19,"Glanmire, Cork",Ireland,Queenstown,"Charlestown, US",,,3
"Burns, Miss Mary Delia",17,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,,,3
"Butrus-Youssef, Mrs. Katarin (née Rizk)",24,Sar'al,Syria,Cherbourg,"Detroit, Michigan, US",C,,3
"Butrus-Youssef, Master Makhkhul",4,Sar'al,Syria,Cherbourg,"Detroit, Michigan, US",D,,3
"Butrus-Youssef, Miss Marianna",2,Sar'al,Syria,Cherbourg,"Detroit, Michigan, US",C,,3
"Čačić, Mr. Jego Grga",18,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Čačić, Mr. Luka",38,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Čačić, Miss Marija",30,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Čačić, Miss Manda",21,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Čalić, Mr. Jovo",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,,3
"Čalić, Mr. Petar",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,,3
"Canavan, Miss Mary",22,"Tonacrick, Clare",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",,,3
"Canavan, Mr. Patrick ""Peter""",21,"Knockmaria, Mayo",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",,,3
"Cann, Mr. Ernest Charles",21,"Penwithick, Cornwall",England,Southampton,New York City,,,3
"Caram, Mr. Joseph",28,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,28,3
"Caram, Mrs. Maria (née Elias)",18,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Carlsson, Mr. Carl Robert",24,"Göteborg, Västergötland",Sweden,Southampton,"Huntley, Illinois, US",,,3
"Carlsson, Mr. August Sigfrid",24,"Dagsås, Halland",Sweden,Southampton,"Tower, Minnesota, US",,,3
"Carr, Miss Jane",47,"Aclare, Sligo",Ireland,Queenstown,"Hartford, Connecticut, US",,,3
"Carver, Mr. Alfred John",28,"Southampton, Hampshire",England,Southampton,New York City,,,3
"Celotti, Mr. Francesco",24,Milan,Italy,Southampton,,,,3
"Chang, Mr. Chip",32,Hong Kong,China,Southampton,New York City,C,,3
"Charters, Mr. David",28,"Ballinalee, Longford",Ireland,Queenstown,New York City,,,3
"Cheong, Mr. Foo",32,Hong Kong,China,Southampton,New York City,C,,3
"Christmann, Mr. Emil",29,London,England,Southampton,New York City,,,3
"Chronopoulos, Mr. Apostolos",26,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,,3
"Chronopoulos, Mr. Dimitrios",18,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,,3
"Coelho, Mr. Domingos Fernandes",20,"Funchal, Madeira Islands",Portugal,Southampton,New York City,,,3
"Cohen, Mr. Gershon ""Gus""",18,London,England,Southampton,"Brooklyn, New York, US",12,,3
"Colbert, Mr. Patrick",24,"Kilkinlea, Limerick",Ireland,Queenstown,"Sherbrooke, Quebec, Canada",,,3
"Coleff, Mr. Fotio",24,"Debnevo, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Coltcheff, Mr. Peju",36,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Conlon, Mr. Thomas Henry",31,"Philadelphia, Pennsylvania",US,Queenstown,"Philadelphia, Pennsylvania, US",,,3
"Connaghton, Mr. Michael",31,"Brooklyn, New York",US,Queenstown,"Brooklyn, New York, US",,,3
"Connolly, Miss Catherine ""Kate""",35,"Bank Place, Tipperary",Ireland,Queenstown,"Dobbs Ferry, New York, US",,,3
"Connolly, Miss Katherine ""Kate""",22,"Cortrasna, Cavan",Ireland,Queenstown,New York City,13,,3
"Connors, Mr. Patrick John",61,"Charleville, Cork",Ireland,Queenstown,New York City,,171,3
"Cook, Mr. Jacob
(Kukk, Mr. Jakob?)",43,"Unknown
(Estonia?)","Russia
(Estonia?)",Southampton,New York City,,,3
"Čor, Mr. Bartol",35,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,,3
"Čor, Mr. Ivan",27,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,,3
"Čor, Mr. Liudevit",19,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,,3
"Corn, Mr. Henry ""Harry""",30,London,England,Southampton,New York City,,,3
"Corr, Miss Helen",16,"Corglass, Longford",Ireland,Queenstown,New York City,16,,3
"Coutts, Mrs. Mary Winnie (née Trainer)",36,London,England,Southampton,"Brooklyn, New York, US",2,,3
"Coutts, Master William Loch ""Willie""",9,London,England,Southampton,"Brooklyn, New York, US",2,,3
"Coutts, Master Neville Leslie",3,London,England,Southampton,"Brooklyn, New York, US",2,,3
"Coxon, Mr. Daniel",59,London,England,Southampton,"Merrill, Wisconsin, US",,,3
"Crease, Mr. Ernest James",19,"Bristol, Avon",England,Southampton,"Cleveland, Ohio, US",,,3
"Cribb, Mr. John Hatfield",44,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",,,3
"Cribb, Miss Laura Mae",16,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",12,,3
"Čulumović, Mr. Jeso",17,Lipova Glavica,Croatia,Southampton,"Hammond, Indiana, US",,,3
"Dahir, Mr. Tannous",28,Beirut,Lebanon,Cherbourg,"Youngstown, Ohio, US",,,3
"Dahl, Mr. Charles Edwart",45,"Adelaide, South Australia",Australia,Southampton,"Fingal, North Dakota, US",15,,3
"Dahlberg, Miss Gerda Ulrika",22,Stockholm,Sweden,Southampton,"Chicago, Illinois, US",,,3
"Dakić, Mr. Branko",19,Gornji Miholjac,Croatia,Southampton,New York City,,,3
"Daly, Miss Margaret ""Maggie""",30,"Athlone, Westmeath",Ireland,Queenstown,New York City,15,,3
"Daly, Mr. Eugene Patrick",29,"Athlone, Westmeath",Ireland,Queenstown,New York City,B,,3
"Danbom, Mr. Ernst Gilbert",34,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,197,3
"Danbom, Mrs. Anna Sigrid Maria (née Brogren)",28,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,,3
"Danbom, Master Gilbert Sigvard Emanuel",4 mo.,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,,3
"Danoff, Mr. Yoto",27,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Dantcheff, Mr. Ristju",25,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Davies, Mr. Evan",22,"Pontardawe, West Glamorgan",Wales,Southampton,"Pontiac, Michigan, US",,,3
"Davies, Mr. Alfred John",24,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,,3
"Davies, Mr. John Samuel",21,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,,3
"Davies, Mr. Joseph",17,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,,3
"Davison, Mr. Thomas Henry ""Harry""",32,"Liverpool, Merseyside",England,Southampton,"Bedford, Indiana, US",,,3
"Davison, Mrs. Mary Elizabeth",34,"Liverpool, Merseyside",England,Southampson,"Bedford, Indiana, US",16,,3
"De Messemaeker, Mr. Guillaume Joseph",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",15,,3
"De Messemaeker, Mrs. Anna (née de Becker)",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",13,,3
"de Mulder, Mr. Theodoor",36,"Aspelare, East Flanders",Belgium,Southampton,"Detroit, Michigan, US",11,,3
"de Pelsmaeker, Mr. Alfons",16,"Heldergem, Haaltert, East Flanders",Belgium,Southampton,"Gladstone, Michigan, US",,,3
"Dean, Mr. Bertram Frank",25,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",,,3
"Dean, Mrs. Eva Georgetta (née Light)",32,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,,3
"Dean, Master Bertram Vere",1,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,,3
"Dean, Miss Elizabeth Gladys ""Millvina""",2 mo.,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,,3
"Delalić, Mr. Redjo",25,Bakić,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,,3
"Denkoff, Mr. Mitto",30,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,,3
"Dennis, Mr. William",26,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",,,3
"Dennis, Mr. Samuel",22,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",,,3
"Devaney, Miss Margaret Delia",19,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,C,,3
"Dika, Mr. Mirko",17,Podgora,Croatia,Southampton,"Vancouver, British Columbia, Canada",,,3
"Dimić, Mr. Jovan",42,Ostrovica,Croatia,Southampton,"Red Lodge, Montana, US",,,3
"Dintcheff, Mr. Valtcho",43,Unknown,Bulgaria,Southampton,"Tulsa, Oklahoma, US",,,3
"Donohoe, Miss Bridget",21,"Cum, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"Dooley, Mr. Patrick J.",43,"Patrickswell, Limerick",Ireland,Queenstown,New York City,,,3
"Dorking, Mr. Edward Arthur",18,"Liss, Hampshire",England,Southampton,"Oglesby, Illinois, US",B,,3
"Doherty, Mr. William John (aka ""James Moran"")",22,Cork,Ireland,Queenstown,New York City,,,3
"Dowdell, Miss Elizabeth",31,"New York City, New York",US,Southampton,New York City,13,,3
"Doyle, Miss Elizabeth",24,"Bree, Wexford",Ireland,Queenstown,New York City,,,3
"Draženović, Mr. Jozef",33,Hrastelnica,Croatia,Cherbourg,New York City,,51,3
"Dropkin, Miss Jennie",24,Mogilev,Belarus,Southampton,New York City,13,,3
"Duquemin, Mr. Joseph Pierre",19,"Saint Sampson, Guernsey, Channel Islands",England,Southampton,"Albion, New York, US",D,,3
"Dwan, Mr. Frank",65,"Bunmahon, Waterford",Ireland,Queenstown,"Morris Plains, New Jersey, US",,,3
"Dyker, Mr. Adolf Fredrik",23,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",,,3
"Dyker, Mrs. Anna Elisabeth Judith (née Andersson)",22,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",16,,3
"Edvardsson, Mr. Gustaf Hjalmar",18,"Tofta, Uppland",Sweden,Southampton,"Joliet, Illinois, US",,,3
"Eklund, Mr. Hans Linus",16,"Kårberg, Örebro",Sweden,Southampton,"Jerome Junction, Arizona, US",,,3
"Ekström, Mr. Johan",45,"Effington Rut, South Dakota",US,Southampton,"Effington Rut, South Dakota, US",,,3
"Elias, Mr. Dibo",29,Unknown,Lebanon,Cherbourg,New York City,,,3
"Elias, Mr. Joseph Jr.",15,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Elias Nasrallah, Mr. Tannous",17,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Elsbury, Mr. William James",47,"Taunton, Somerset",England,Southampton,"Gurnee, Illinois, US",,,3
"Emanuel, Miss Virginia Ethel",6,"New York City, New York",US,Southampton,New York City,13,,3
"Estanislau, Mr. Manuel Gonçalves",37,"Calheta, Madeira",Portugal,Southampton,New York City,,,3
"Everett, Mr. Thomas James",39,"Bristol, Avon",England,Southampton,"Troy, New York, US",,187,3
"Fardon, Mr. Charles R.(alias Charles Franklin)",38,"Wellingborough, Northamptonshire",England,Cherbourg,Canada,,,3
"Farrell, Mr. James ""Jim""",25,"Killoe, Longford",Ireland,Queenstown,New York City,,68,3
"Finoli, Mr. Luigi",34,"Philadelphia, Pennsylvania",US,Southampton,"Philadelphia, Pennsylvania, US",15,,3
"Fischer, Mr. Eberhard Thelander",18,"Björkeberga, Skåne",Sweden,Southampton,New York City,,,3
"Fleming, Miss Honora ""Nora""",22,"Carrowskehine, Mayo",Ireland,Queenstown,New York City,,,3
"Flynn, Mr. James",28,"Cuilkillew, Mayo",Ireland,Queenstown,New York City,,,3
"Flynn, Mr. John",42,"Clonbur, Galway",Ireland,Queenstown,"Pittsburgh, Pennsylvania, US",,,3
"Foley, Mr. Joseph",19,"Broadford, Limerick",Ireland,Queenstown,"Larchmont, New York, US",,,3
"Foley, Mr. William",20,"Donoughmore, Cork",Ireland,Queenstown,New York City,,,3
"Ford, Mr. Arthur",22,"Bridgwater, Somerset",England,Southampton,"Elmira, New York, US",,,3
"Ford, Mrs. Margaret Ann (née Watson)",48,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,,3
"Ford, Miss Dollina Margaret",20,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,,3
"Ford, Mr. Edward Watson",18,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,,3
"Ford, Mr. William Neal Thomas",16,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,,3
"Ford, Miss Robina Maggie",7,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,,3
"Fox, Mr. Patrick",28,"Mullingar, Westmeath",Ireland,Queenstown,New York City,,,3
"Gallagher, Mr. Martin",29,"Caltra, Galway",Ireland,Queenstown,New York City,,,3
"Garfirth, Mr. John",21,"Wollaston, Northamptonshire",England,Southampton,"Kitchener, Ontario, Canada",,,3
"Gerios Thamah, Mr. Assaf",21,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Gheorgheff, Mr. Stanio",–,Unknown,Bulgaria,Cherbourg,"Butte, Montana, US",,,3
"Gilinski, Mr. Eliezer",22,"Abercynon, Glamorgan",Wales,Southampton,"Chicago, Illinois, US",,47,3
"Gilnagh, Miss Mary Katherine ""Katie""",17,"Esker, Longford",Ireland,Queenstown,New York City,16,,3
"Glynn, Miss Mary Agatha",19,"Killaloe, Clare",Ireland,Queenstown,"Washington, DC, US",13,,3
"Goldsmith, Mr. Frank John",33,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",,,3
"Goldsmith, Mrs. Emily Alice (née Brown)",31,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,,3
"Goldsmith, Master Frank John William",9,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,,3
"Goldsmith, Mr. Nathan",41,Unknown,Russia,Southampton,"Philadelphia, Pennsylvania, US",,,3
"Goodwin, Mr. Frederick Joseph",42,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Mrs. Augusta (née Tyler)",43,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Miss Lillian Amy",16,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Mr. Charles Edward",14,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Master William Frederick",13,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Miss Jessie Allis Mary",12,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Master Harold Victor",10,Fulham,England,Southampton,"Niagara Falls, New York, US",,,3
"Goodwin, Master Sidney Leslie",1,Fulham,England,Southampton,"Niagara Falls, New York, US",,4,3
"Green, Mr. George Henry",40,"Dorking, Surrey",England,Southampton,"Lead, South Dakota, US",,,3
"Grønnestad, Mr. Daniel Danielsen",32,Bokn,Norway,Southampton,"Portland, North Dakota, US",,,3
"Guest, Mr. Robert",32,London,England,Southampton,"Clinton, New York, US",,,3
"Gustafsson, Mr. Alfred Ossian",19,Kokkola,Finland,Southampton,"Waukegan, Illinois, US",,,3
"Gustafsson, Mr. Anders Vilhelm",37,Ruotsinpyhtää,Finland,Southampton,New York City,,98,3
"Gustafsson, Mr. Johan Birger",28,Ruotsinpyhtää,Finland,Southampton,New York City,,,3
"Gustafsson, Mr. Karl Gideon",19,"Myren, Synnerby, Västergötland",Sweden,Southampton,"Aberdeen, South Dakota, US",,,3
"Haas, Miss Aloisia",24,"Altdorf, Uri",Switzerland,Southampton,"Chicago, Illinois, US",,,3
"Hagland, Mr. Ingvald Olai Olsen",28,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,,3
"Hagland, Mr. Konrad Mathias Reiersen",19,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,,3
"Hakkarainen, Mr Pekka Pietari",28,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",,,3
"Hakkarainen, Mrs. Elin Matilda (née Dolck)",24,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",15,,3
"Hampe, Mr. Léon Jérome",19,Westrozebeke,Belgium,Southampton,"Detroit, Michigan, US",,,3
"Hanna, Mr. Borak Suleiman",27,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",15,,3
"Hanna, Mr. Bulus",18,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,,3
"Hanna, Mr. Mansur",35,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,188,3
